#NSGA2
popsize 100
maxGen 100
numVar 10
numObj 2
numCons 10
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 100
currentGen	1
evaluateCount	100
totalTime	0.38938
firstFrontCount	11
frontCount	14
avgEvalTime	0.00270498
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Var9	Var10	Obj1	Obj2	Cons1	Cons2	Cons3	Cons4	Cons5	Cons6	Cons7	Cons8	Cons9	Cons10	
-0.190756	0.395462	0.491101	-0.129003	0.634151	0.440525	0.84746	0.526771	0.0176956	0.221489	16.5341	1.04593	0	0	0	0	0	0	0	0	0	0	
-0.083056	0.0376799	0.611273	0.909608	-0.190976	0.535769	-0.141846	0.619988	-0.265898	-0.0208506	13.2291	1.00426	0	0	0	0	0	0	0	0	0	0	
0.481768	0.0957347	0.110282	0.201304	0.904601	0.962868	0.045192	0.0295861	0.446698	0.489461	13.8635	1.2407	0	0	0	0	0	0	0	0	0	0	
0.76399	-0.0657858	0.475186	0.796666	0.675333	-0.109299	0.0348795	0.231365	0.889271	0.634644	9.66707	1.58242	0	0	0	0	0	0	0	0	0	0	
0.895383	0.950572	-0.0742639	-0.0466737	0.473005	0.571399	0.458791	0.715789	0.545883	0.646532	10.9179	1.85103	0	0	0	0	0	0	0	0	0	0	
0.550151	-0.2192	0.00137699	0.310789	0.951014	0.622164	-0.262675	0.553428	0.377232	0.94576	15.9948	1.57543	0	0	0	0	0	0	0	0	0	0	
0.347657	0.932826	0.23209	0.856303	0.999103	0.344626	-0.056154	0.43488	-0.0416691	0.914722	3.40427	1.96292	0	0	0	0	0	0	0	0	0	0	
0.127926	0.680683	0.634647	-0.114086	0.836826	0.870639	0.664115	0.711986	-0.074	0.855785	11.9818	2.0198	0	0	0	0	0	0	0	0	0	0	
0.351833	0.571156	0.423264	0.765835	0.542395	0.846118	-0.0804341	0.934902	0.555878	0.756681	8.95806	1.99392	0	0	0	0	0	0	0	0	0	0	
0.0446887	-0.27134	0.163234	0.917834	0.448512	0.594714	0.241515	0.0663148	0.219503	0.415248	16.2597	0.891437	0	0	0	0	0	0	0	0	0	0	
0.809047	0.962773	0.678703	-0.162657	0.160302	0.049922	0.841275	0.639768	0.377561	0.66874	9.36092	1.90179	0	0	0	0	0	0	0	0	0	0	
0.6184	0.515513	-0.179381	0.560967	0.66046	-0.012019	0.795767	-0.297059	0.672945	0.218164	10.8484	1.32666	0	0	0	0	0	0	0	0	0	0	
0.780142	0.38975	-0.118463	0.838478	0.548625	-0.0605574	-0.16678	0.222068	-0.159709	0.184552	8.4371	0.959479	0	0	0	0	0	0	0	0	0	0	
0.979497	-0.210149	0.766114	0.793382	0.189634	0.664802	0.206311	0.07255	-0.125643	-0.0669468	6.29701	1.38299	0	0	0	0	0	0	0	0	0	0	
0.0966797	0.373156	0.491208	-0.114264	0.488393	0.756556	-0.296951	0.816468	0.553143	0.0262981	14.6899	1.13765	0	0	0	0	0	0	0	0	0	0	
0.63486	0.0343243	0.159422	0.180848	0.224847	-0.0728975	-0.215926	0.578775	0.531345	0.117343	13.4651	0.597959	0	0	0	0	0	0	0	0	0	0	
